Area,Frontage,Access Road,Floors,Bedrooms,Bathrooms,Price,Year,Price_Lag_1
87.0,5.0,33.0,5.0,5.0,5.0,10.0,2024,7.5
56.0,5.0,5.0,3.0,3.0,3.0,2.7,2024,10.0
90.0,4.5,6.0,3.0,3.0,3.0,5.5,2024,2.7
58.0,4.5,6.0,3.0,3.0,3.0,4.61,2024,5.5
35.0,5.0,2.0,5.0,5.0,4.0,6.85,2024,4.61
50.4,4.5,5.0,3.0,4.0,4.0,3.75,2024,6.85
54.0,4.5,5.0,3.0,4.0,4.0,4.3,2024,3.75
57.4,4.5,6.0,3.0,3.0,2.0,4.05,2024,4.3
56.0,3.82,2.5,5.0,6.0,5.0,6.5,2024,4.05
151.0,4.0,6.0,2.0,4.0,3.0,3.2,2024,6.5
51.75,4.5,6.0,4.0,4.0,5.0,9.2,2024,3.2
27.0,4.0,10.0,5.0,4.0,5.0,7.65,2024,9.2
115.0,4.5,6.0,3.0,3.0,3.0,9.55,2024,7.65
81.0,4.5,18.5,5.0,3.0,3.0,9.9,2024,9.55
102.8,7.0,18.0,2.0,4.0,4.0,5.6,2024,9.9
48.0,4.5,6.0,3.0,3.0,3.0,5.8,2024,5.6
55.0,4.5,5.0,3.0,3.0,3.0,6.8,2024,5.8
56.25,4.5,5.0,3.0,4.0,3.0,4.29,2024,6.8
65.0,4.5,6.0,2.0,3.0,3.0,4.0,2024,4.29
80.0,8.0,8.0,5.0,5.0,6.0,6.5,2024,4.0
60.0,4.0,6.0,3.0,3.0,3.0,7.0,2024,6.5
33.0,3.0,2.0,5.0,3.0,4.0,4.48,2024,7.0
38.0,4.2,6.0,4.0,3.0,4.0,6.78,2024,4.48
150.0,5.0,38.0,3.0,3.0,3.0,4.9,2024,6.78
42.0,4.5,6.0,3.0,2.0,3.0,6.5,2024,4.9
60.0,4.5,6.0,3.0,3.0,3.0,7.0,2024,6.5
30.0,3.4,3.0,6.0,4.0,5.0,5.65,2024,7.0
78.0,6.0,13.0,5.0,3.0,3.0,9.8,2024,5.65
43.5,4.5,2.0,4.0,3.0,4.0,6.2,2024,9.8
23.9,3.5,6.0,2.0,2.0,2.0,4.2,2024,6.2
78.7,4.0,6.0,3.0,3.0,3.0,5.5,2024,4.2
67.5,4.5,6.0,3.0,3.0,3.0,2.18,2024,5.5
72.0,4.0,5.0,2.0,4.0,4.0,6.7,2024,2.18
60.0,4.5,3.0,4.0,4.0,3.0,2.65,2024,6.7
200.0,4.5,6.0,2.0,3.0,3.0,10.0,2024,2.65
36.0,4.0,3.0,5.0,4.0,4.0,6.0,2024,10.0
100.0,4.5,20.0,3.0,4.0,4.0,8.49,2024,6.0
120.0,6.0,30.0,4.0,3.0,3.0,5.85,2024,8.49
78.0,4.5,6.0,3.0,3.0,3.0,5.8,2024,5.85
132.0,4.0,8.0,2.0,3.0,2.0,7.0,2024,5.8
102.0,4.5,3.0,1.0,2.0,1.0,6.8,2024,7.0
101.0,7.1,2.5,3.0,4.0,3.0,6.6,2024,6.8
81.0,8.0,8.0,1.0,1.0,1.0,5.8,2024,6.6
35.0,4.5,6.0,5.0,4.0,3.0,3.5,2024,5.8
75.0,5.0,24.0,3.0,3.0,3.0,7.7,2024,3.5
62.0,4.5,6.0,4.0,6.0,4.0,6.9,2024,7.7
100.0,15.0,20.0,3.0,3.0,3.0,3.9,2024,6.9
42.0,3.3,5.0,4.0,5.0,4.0,8.8,2024,3.9
143.0,5.0,6.0,4.0,4.0,4.0,9.3,2024,8.8
180.0,9.0,40.0,3.0,5.0,4.0,9.7,2024,9.3
75.0,5.0,17.0,5.0,3.0,3.0,8.6,2024,9.7
78.0,6.0,6.0,5.0,3.0,3.0,9.4,2024,8.6
33.0,4.5,2.5,5.0,3.0,4.0,4.15,2024,9.4
31.0,4.5,6.0,5.0,3.0,3.0,2.9,2024,4.15
83.6,4.5,6.0,4.0,4.0,5.0,8.6,2024,2.9
56.0,4.8,3.0,6.0,4.0,4.0,5.3,2024,8.6
90.0,5.0,17.5,4.0,4.0,5.0,3.85,2024,5.3
55.0,4.0,5.0,5.0,6.0,5.0,8.3,2024,3.85
50.0,9.0,6.0,2.0,2.0,2.0,3.9,2024,8.3
65.0,4.5,8.0,4.0,4.0,5.0,4.2,2024,3.9
60.0,4.5,6.0,3.0,3.0,3.0,4.3,2024,4.2
100.0,5.0,15.0,3.0,3.0,4.0,3.95,2024,4.3
33.0,4.5,6.0,3.0,1.0,1.0,1.4,2024,3.95
60.0,4.5,2.0,3.0,3.0,3.0,4.7,2024,1.4
70.0,4.5,6.0,5.0,5.0,4.0,6.9,2024,4.7
40.0,4.5,5.0,4.0,5.0,4.0,9.1,2024,6.9
40.0,4.5,6.0,5.0,6.0,3.0,6.25,2024,9.1
66.0,4.0,12.0,4.0,5.0,3.0,8.95,2024,6.25
35.0,4.5,6.0,4.0,4.0,3.0,6.25,2024,8.95
74.0,4.5,6.0,2.0,4.0,3.0,6.83,2024,6.25
